,Velvet Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Persona 5 Guide,,,,,Top of Page,,,,,,,Bottom of Page,,,,,,,How to use,,,,,,,Calendar,,,,,,Helpful Links,,,,,,,,,Recommended Fusions,,,,,,,,April
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Persona 5 Royal
Calendar Guide",,,,,,,,,,,,,,,,,,"Welcome Tricksters to the Velvet Room, or a Velvet set of Google Sheets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"   This guide is designed to be a one stop shop for planning your day to day, as an innocent student at 
Shujin Academy. Information is broken down day by day, for both After School/Daytime and Evening 
hours. You'll be able to see what the Weather will be like throughout the day. Opprutinites to improve your 
Social Stats. Which of your Confidants, best friends forever, or favorite waifu are available. See when new 
items are in stores, and when items rotate in and out of stock. Then lastly when Palaces or Mementos can 
be explored, along with new requests.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"By: Kal Hawke on April, 3, 2020
In Progress Edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WHeRe iS tHE PeRS0na 5 r0yAL GuIDe?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"YOU FOUND IT... and It's mostly done

I've finshed the game awhile ago but i'm lazy and have a bit of work to do. But by and large the guide covers every day in the Game from start to finish. Thanks to everyone who's leaving comments it help make corrections and add info where I missed something. At some point i'll come back and clean up, but that's after I finsh the Persona 4 Golden Guide i'm working on.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Be Advised, Wild Spoilers may appear",,,,,,,,,,,,,,,,,,,,,,,,,Contact Me,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"   This guide will contain mild spoilers, but you'll be fine if play the game 
and check the guide day to day, instead of scrolling way ahead in the guide. 
Please browse with caution. 
   Keep in mind this guide is still a work in progress, so parts will not be 
100% accurate with all of the information. Parts may be incomplete or 
inaccurate. Other parts of the guide may have spelling errors or are using 
a direct translation from Japanese. Other sections of the guide may be 
added later so the guide is still ""Under Construction"" for now.",,,,,,,,,,,,,,,,,,,,,,,,,"  Don't ignore me like you did Ryuji that one time, also I may get stuck in the 
Metaverse aka P5 Royal, and will need a rescue so I can keep writing the guide.

If you spot errors, something missing, or have a suggestion or comment. Feel free to
leave a comment directly on the sheets or email me directly.

My Emails - CurtisZw@Gmail.com
                  - Kal_Hawke@Outlook.com ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,How do I even use this thing?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"   It's no Metaverse Navigator, but hopefully you'll be able to find the tresure 
you seek quickly and with ease. But ill give you some info to help you make
use of this guide with out destroying your scroll wheel.

 - You probably already saw the ""Toolbar"" at the top of the spreadsheet. 
Hovering over the Italiczed words will reveal a link to skip to that section of the
spread sheet.",,,,,,,,,,,,,,,,,,,,,,,,," - Both the Calendar further down on this sheet, and each month's sheet has colour 
codeing. So here's a quick legend so you can quickly see what they all mean.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,"- White indicates After School/ Daytime hours.
- Grey Indicates Evening hours. C Indicates Clear/Cloudy weather.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- Weekend
- Partially Restricted, Only half of the day is available to you
- Restricted, The entire day is unavailable to you. ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,," - At the bottom of the window should be several colour coded tabs, clicking
them will move also move you between the Velvet Room and all of the in-game
months 

 - Now if you moved your mouse over this text, you might of noticed a small 
window appear to the left. Look for small black triangle next to the text. 
Hovering your mouse over a cell with that small triangle will reveal the note.

",,,,,,,,,,,,,,,,,,,,,,,,,,,"- School Exam
- Deadline",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,"- Rain / Rainy Season
- Torrential Rain",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,TR,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,"- Snow
- Flu Season - Shadows have a chance to start a fight with Despair",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,"- Pollen Warning - Shadows asleep in Mementos
- Heat Wave",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Stuck in Leblanc during the Evening,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CW,,- Cold Wave,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
